name,apparent magnitude,latitude,longitude,x,y,z,r,g,b
,4.59,-0.8043351079546344,-2.961274136452924,51.420268,9.373821,-54.285737,1.0,0.9062666666666667,0.7889916528925621
,6.06,0.4298572811000236,-2.9600758806549674,113.319359,20.798356,52.818834,0.95665,0.95195,0.0
,5.72,-0.9861339784564599,-2.9593253018101473,36.379065,6.705245,-55.891371,0.885675,0.906025,0.0
,5.83,1.154493272665861,-2.958083587313816,63.009855,11.694404,144.942944,1.0,0.8944,0.759754049586777
,4.8,0.8816098921992412,-2.958050076992178,274.222888,50.904565,338.492753,0.745515625,0.806015625,0.0
,5.38,-1.1426326782944232,-2.956272982747797,16.745713,3.139387,-37.330055,1.0,0.9646666666666667,0.9519566115702479
,6.18,1.025440468727454,-2.9560768950063356,171.657077,32.21575,287.859457,0.81691,0.86731,0.0
,5.99,-1.0517843986438864,-2.955293853037428,34.521236,6.507126,-61.495198,1.0,0.8576,0.6774102479338844
,6.05,-0.6713144201348661,-2.9552140042241497,111.67562,21.058364,-90.278111,0.80176,0.8541599999999999,0.0
,4.36,-1.0029195952710528,-2.952425055345925,39.897951,7.638724,-63.674097,0.8402,0.8766,0.0
,4.95,0.8207331569555294,-2.9519278983084947,35.934654,6.898434,39.272564,0.90225,0.91675,0.0
Diphda,2.04,-0.3139254785056747,-2.9513980163475892,27.583638,5.310463,-9.119792,1.0,0.8974666666666666,0.7671843801652893
,6.01,-0.20964568598385763,-2.950327256851491,54.160599,10.487244,-11.73791,1.0,0.8857333333333334,0.7392280165289257
,4.77,-0.1851715796549644,-2.9487774044757193,69.103848,13.491898,-13.188762,1.0,0.9002666666666667,0.774044958677686
,5.9,-0.6705849248674101,-2.9487294951877527,79.84779,15.593763,-64.532299,1.0,0.8808,0.7278558677685951
,5.66,0.8353841139218856,-2.9477008853930893,125.87378,24.716289,141.788188,0.7404056250000001,0.801705625,0.0
,6.06,-1.0907887375147753,-2.9473094953083296,39.710543,7.813855,-77.738024,1.0,0.9738666666666667,0.9805203305785124
,4.48,0.8427211290314193,-2.9464421539365513,140.690195,27.809754,160.874126,0.769500625,0.826400625,0.0
,5.22,-0.3840795113883624,-2.9463777512871525,24.325675,4.809987,-10.02159,0.97875,0.9662499999999999,0.0
,5.94,-0.7448464505183262,-2.9454559556427116,46.43253,9.225661,-43.648415,0.956225,0.951675,0.0
,6.15,-0.9375017751130394,-2.945253846515331,27.047255,5.379912,-37.562159,1.0,0.9634666666666667,0.9482889256198348
,5.41,0.9637951777476266,-2.943993282463078,55.267454,11.065156,81.162189,0.8393499999999999,0.87605,0.0
,6.15,-0.0807940836016207,-2.9434885332434013,248.031331,49.789039,-20.483814,1.0,0.81155,0.5583966942148761
,6.15,-0.2248125448238108,-2.94315683341906,29.624957,5.957047,-6.910183,1.0,0.9529333333333333,0.9166693388429752
,5.64,1.3087887735758619,-2.942399447790157,23.618496,4.767825,89.848671,0.86315,0.89145,0.0
,6.47,-0.286656716071903,-2.942210166832778,83.721479,16.917376,-25.177829,0.9634499999999999,0.95635,0.0
,5.8,-0.8299387041089559,-2.9419313504847717,10.027401,2.02916,-11.185157,1.0,0.9486666666666667,0.9041549586776859
,6.03,0.7829808300235586,-2.9400937805818095,91.018749,18.592523,92.450253,0.773655625,0.829955625,0.0
,5.49,-0.3930847471035373,-2.9400257127409817,84.424329,17.251486,-35.731271,1.0,0.9029333333333334,0.7806466115702481
